:START_ID,:END_ID,relation,:TYPE
10093,40025,类型,类型
10094,40013,类型,类型
10094,40025,类型,类型
10094,40020,类型,类型
10094,40001,类型,类型
10095,40013,类型,类型
10095,40021,类型,类型
10095,40007,类型,类型
10096,40013,类型,类型
10096,40025,类型,类型
10097,40013,类型,类型
10098,40013,类型,类型
10098,40016,类型,类型
10098,40019,类型,类型
10099,40013,类型,类型
10099,40016,类型,类型
10099,40025,类型,类型
10100,40013,类型,类型
10100,40007,类型,类型
10101,40013,类型,类型
10101,40021,类型,类型
10101,40007,类型,类型
10101,40027,类型,类型
10102,40013,类型,类型
10102,40001,类型,类型
10102,40026,类型,类型
10102,40022,类型,类型
10103,40013,类型,类型
10103,40025,类型,类型
10103,40001,类型,类型
10104,40013,类型,类型
10104,40016,类型,类型
10105,40013,类型,类型
10106,40016,类型,类型
10106,40026,类型,类型
10106,40003,类型,类型
10106,40014,类型,类型
10107,40013,类型,类型
10107,40025,类型,类型
10108,40013,类型,类型
10108,40025,类型,类型
10109,40013,类型,类型
10110,40013,类型,类型
10110,40025,类型,类型
10110,40020,类型,类型
10111,40013,类型,类型
10111,40025,类型,类型
10111,40019,类型,类型
10112,40019,类型,类型
10112,40026,类型,类型
10112,40022,类型,类型
10113,40002,类型,类型
10113,40019,类型,类型
10113,40021,类型,类型
10113,40007,类型,类型
10114,40025,类型,类型
10114,40026,类型,类型
10114,40003,类型,类型
10114,40014,类型,类型
10115,40013,类型,类型
10115,40021,类型,类型
10115,40027,类型,类型
10116,40013,类型,类型
10117,40019,类型,类型
10117,40026,类型,类型
10117,40022,类型,类型
10118,40013,类型,类型
10118,40025,类型,类型
10119,40013,类型,类型
10119,40016,类型,类型
10120,40013,类型,类型
10121,40013,类型,类型
10121,40027,类型,类型
10122,40013,类型,类型
10122,40021,类型,类型
10122,40026,类型,类型
10122,40022,类型,类型
10123,40013,类型,类型
10123,40021,类型,类型
10123,40007,类型,类型
10123,40027,类型,类型
10124,40013,类型,类型
10124,40016,类型,类型
10124,40025,类型,类型
10125,40013,类型,类型
10125,40016,类型,类型
10125,40001,类型,类型
10126,40013,类型,类型
10126,40015,类型,类型
10126,40002,类型,类型
10126,40007,类型,类型
10126,40027,类型,类型
10127,40019,类型,类型
10127,40026,类型,类型
10127,40022,类型,类型
10128,40016,类型,类型
10128,40019,类型,类型
10128,40022,类型,类型
10129,40013,类型,类型
10129,40025,类型,类型
10129,40019,类型,类型
10129,40026,类型,类型
10130,40016,类型,类型
10130,40025,类型,类型
10130,40014,类型,类型
10131,40016,类型,类型
10131,40015,类型,类型
10131,40002,类型,类型
10131,40019,类型,类型
10131,40022,类型,类型
10132,40016,类型,类型
10132,40019,类型,类型
10132,40012,类型,类型
10132,40026,类型,类型
10132,40022,类型,类型
10133,40013,类型,类型
10134,40013,类型,类型
10134,40001,类型,类型
10135,40021,类型,类型
10135,40007,类型,类型
10135,40023,类型,类型
10136,40013,类型,类型
10136,40015,类型,类型
10136,40022,类型,类型
10137,40015,类型,类型
10137,40021,类型,类型
10137,40007,类型,类型
10138,40016,类型,类型
10138,40019,类型,类型
10138,40022,类型,类型
10139,40013,类型,类型
10139,40016,类型,类型
10139,40025,类型,类型
10140,40013,类型,类型
10140,40016,类型,类型
10140,40025,类型,类型
10140,40020,类型,类型
10140,40001,类型,类型
10141,40013,类型,类型
10141,40015,类型,类型
10141,40027,类型,类型
10142,40013,类型,类型
10142,40004,类型,类型
10142,40011,类型,类型
10142,40017,类型,类型
10143,40013,类型,类型
10143,40001,类型,类型
10143,40022,类型,类型
10144,40013,类型,类型
10144,40015,类型,类型
10144,40025,类型,类型
10144,40003,类型,类型
10144,40014,类型,类型
10145,40013,类型,类型
10145,40019,类型,类型
10145,40017,类型,类型
10146,40013,类型,类型
10146,40025,类型,类型
10147,40013,类型,类型
10147,40007,类型,类型
10148,40013,类型,类型
10148,40025,类型,类型
10149,40016,类型,类型
10149,40025,类型,类型
10149,40026,类型,类型
10150,40013,类型,类型
10150,40021,类型,类型
10150,40007,类型,类型
10150,40027,类型,类型
10151,40013,类型,类型
10151,40021,类型,类型
10151,40027,类型,类型
10152,40013,类型,类型
10152,40016,类型,类型
10152,40015,类型,类型
10152,40027,类型,类型
10153,40013,类型,类型
10153,40016,类型,类型
10153,40027,类型,类型
