index:ID,film,:LABEL
10144,东邪西毒 東邪西毒,电影
10145,萤火虫之墓 火垂るの墓,电影
10146,贫民窟的百万富翁 Slumdog Millionaire,电影
10147,黑天鹅 Black Swan,电影
10148,傲慢与偏见 Pride &amp; Prejudice,电影
10149,时空恋旅人 About Time,电影
10150,记忆碎片 Memento,电影
10151,心迷宫,电影
10152,纵横四海 緃横四海,电影
10153,荒蛮故事 Relatos salvajes,电影
10154,玩具总动员3 Toy Story 3,电影
10155,教父3 The Godfather: Part III,电影
10156,雨人 Rain Man,电影
10157,完美的世界 A Perfect World,电影
10158,达拉斯买家俱乐部 Dallas Buyers Club,电影
10159,花样年华 花樣年華,电影
10160,卢旺达饭店 Hotel Rwanda,电影
10161,"三块广告牌 Three Billboards Outside Ebbing, Missouri",电影
10162,被解救的姜戈 Django Unchained,电影
10163,海边的曼彻斯特 Manchester by the Sea,电影
10164,恋恋笔记本 The Notebook,电影
10165,你的名字。 君の名は。,电影
10166,你看起来好像很好吃 おまえうまそうだな,电影
10167,虎口脱险 La grande vadrouille,电影
10168,头脑特工队 Inside Out,电影
10169,海洋 Océans,电影
10170,我是山姆 I Am Sam,电影
10171,无敌破坏王 Wreck-It Ralph,电影
10172,冰川时代 Ice Age,电影
10173,雨中曲 Singin' in the Rain,电影
10174,爆裂鼓手 Whiplash,电影
10175,燃情岁月 Legends of the Fall,电影
10176,未麻的部屋 Perfect Blue,电影
10177,模仿游戏 The Imitation Game,电影
10178,人工智能 Artificial Intelligence: AI,电影
10179,一个叫欧维的男人决定去死 En man som heter Ove,电影
10180,穿越时空的少女 時をかける少女,电影
10181,忠犬八公物语 ハチ公物語,电影
10182,房间 Room,电影
10183,魂断蓝桥 Waterloo Bridge,电影
10184,魔女宅急便 魔女の宅急便,电影
10185,猜火车 Trainspotting,电影
10186,恐怖游轮 Triangle,电影
10187,完美陌生人 Perfetti sconosciuti,电影
10188,罗生门 羅生門,电影
10189,哪吒闹海,电影
10190,海街日记 海街diary,电影
10191,黑客帝国3：矩阵革命 The Matrix Revolutions,电影
10192,阿飞正传 阿飛正傳,电影
10193,香水 Perfume: The Story of a Murderer,电影
10194,天书奇谭,电影
10195,朗读者 The Reader,电影
10196,浪潮 Die Welle,电影
10197,可可西里,电影
10198,谍影重重2 The Bourne Supremacy,电影
10199,牯岭街少年杀人事件 牯嶺街少年殺人事件,电影
10200,谍影重重 The Bourne Identity,电影
10201,战争之王 Lord of War,电影
10202,地球上的星星 Taare Zameen Par,电影
10203,惊魂记 Psycho,电影
10204,疯狂的石头,电影
10205,青蛇,电影
10206,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,电影
10207,终结者2：审判日 Terminator 2: Judgment Day,电影
10208,源代码 Source Code,电影
10209,步履不停 歩いても 歩いても,电影
10210,一次别离 جدایی نادر از سیمین,电影
10211,新龙门客栈 新龍門客棧,电影
10212,小萝莉的猴神大叔 Bajrangi Bhaijaan,电影
10213,追随 Following,电影
10214,爱在午夜降临前 Before Midnight,电影
10215,再次出发之纽约遇见你 Begin Again,电影
10216,功夫,电影
10217,无耻混蛋 Inglourious Basterds,电影
10218,撞车 Crash,电影
