:START_ID,:END_ID,relation,:TYPE
20183,32180,合作,合作
20109,33365,合作,合作
20109,31615,合作,合作
20109,33245,合作,合作
20109,32497,合作,合作
20109,31635,合作,合作
20109,31931,合作,合作
20109,30815,合作,合作
20109,31442,合作,合作
20109,32605,合作,合作
20109,30628,合作,合作
20109,30073,合作,合作
20109,32149,合作,合作
20109,30936,合作,合作
20109,33471,合作,合作
20109,31532,合作,合作
20109,32055,合作,合作
20109,33177,合作,合作
20109,31242,合作,合作
20109,33219,合作,合作
20109,33266,合作,合作
20109,33411,合作,合作
20066,30264,合作,合作
20066,31695,合作,合作
20066,33376,合作,合作
20066,30673,合作,合作
20066,30502,合作,合作
20066,33276,合作,合作
20066,33329,合作,合作
20066,31572,合作,合作
20066,31976,合作,合作
20066,30509,合作,合作
20066,32729,合作,合作
20066,31389,合作,合作
20066,32395,合作,合作
20066,32633,合作,合作
20066,30668,合作,合作
20066,31057,合作,合作
20142,32540,合作,合作
20142,32113,合作,合作
20142,30768,合作,合作
20142,31891,合作,合作
20142,31847,合作,合作
20114,30307,合作,合作
20114,32758,合作,合作
20114,30035,合作,合作
20114,33019,合作,合作
20114,32272,合作,合作
20114,31909,合作,合作
20114,30663,合作,合作
20114,31663,合作,合作
20114,30405,合作,合作
20114,30747,合作,合作
20021,30792,合作,合作
20021,33165,合作,合作
20021,32067,合作,合作
20021,31517,合作,合作
20021,32823,合作,合作
20021,30841,合作,合作
20021,33014,合作,合作
20021,30337,合作,合作
20021,33237,合作,合作
20021,31673,合作,合作
20021,31433,合作,合作
20021,32283,合作,合作
20021,32839,合作,合作
20021,30496,合作,合作
20021,31515,合作,合作
20021,32166,合作,合作
20021,30315,合作,合作
20021,31537,合作,合作
20021,31941,合作,合作
20021,30910,合作,合作
20021,32908,合作,合作
20021,31534,合作,合作
20021,30900,合作,合作
20021,31608,合作,合作
20021,32440,合作,合作
20021,32531,合作,合作
20021,31312,合作,合作
20021,30549,合作,合作
20051,33474,合作,合作
20051,30188,合作,合作
20051,33183,合作,合作
20051,33312,合作,合作
